Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
IG - Indication géographique,,Mirabelle d'Alsace,Mirabelle d'Alsace,Mirabelle d'Alsace,Autres boissons alcoolisées,Eaux-de-vie de fruits,,,,,http://www.inao.gouv.fr/produit/13087
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Eau-de-vie de cidre de Bretagne,Eau-de-vie de cidre de Bretagne,Eau-de-vie de cidre de Bretagne,Autres boissons alcoolisées,Eaux-de-vie de cidre et de poiré,Ambré,,,,http://www.inao.gouv.fr/produit/13086
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Pays d'Auge,Pays d'Auge Cambremer ou de Cambremer,Pays d'Auge Cambremer ou de Cambremer,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/13071
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Pays d'Auge,Pays d'Auge,Pays d'Auge,Autres boissons alcoolisées,Cidre,,,,,http://www.inao.gouv.fr/produit/13070
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Domfront,Domfront,Domfront,Autres boissons alcoolisées,Poiré,,,,,http://www.inao.gouv.fr/produit/13062
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Marc de Bourgogne,Marc de Bourgogne,Marc de Bourgogne,Eaux-de-vie de vin et de marc,Eaux-de-vie de marc de raisin,Blanc,,,,http://www.inao.gouv.fr/produit/13047
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Marc d'Alsace,Marc d'Alsace,Marc d'Alsace Gewurztraminer,Eaux-de-vie de vin et de marc,Eaux-de-vie de marc de raisin,Blanc,,,,http://www.inao.gouv.fr/produit/13046
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Fine de Bourgogne,Fine de Bourgogne,Fine de Bourgogne,Eaux-de-vie de vin et de marc,Eaux-de-vie de vin,Blanc,,,,http://www.inao.gouv.fr/produit/13044
IGP - Indication géographique protégée,,Soumaintrain,Soumaintrain,Soumaintrain,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/12991
IGP - Indication géographique protégée,,Pommes et Poires de Savoie ou Pommes de Savoie ou Poires de Savoie,Pommes et Poires de Savoie ou Pommes de Savoie ou Poires de Savoie,Pommes et Poires de Savoie ou Pommes de Savoie ou Poires de Savoie,Fruits légumes et céréales en l'état ou transformés,Fruit à pépins,,,,,http://www.inao.gouv.fr/produit/12988
IGP - Indication géographique protégée,,Lingot du Nord,Lingot du Nord,Lingot du Nord,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/12987
IGP - Indication géographique protégée,,Canard à foie gras du Sud-Ouest,Canard à foie gras du Sud-Ouest,Canard à foie gras du Sud-Ouest (Chalosse Gascogne Gers Landes Périgord Quercy,Produits à base de viande (cuits salés fumés etc.), autres produits à base de viande,,,,,http://www.inao.gouv.fr/produit/12949
IG - Indication géographique,,Cassis de Dijon,Cassis de Dijon,Cassis de Dijon,Autres boissons alcoolisées,Crème de cassis,,,,,http://www.inao.gouv.fr/produit/12823
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Piment d'Espelette ou Piment d'Espelette - Ezpeletako Biperra,Piment d'Espelette ou Piment d'Espelette - Ezpeletako Biperra,Piment d'Espelette ou Piment d'Espelette - Ezpeletako Biperra,Autres produits de l'annexe I du traité (épices etc.),Epices,,,,,http://www.inao.gouv.fr/produit/12820
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Foin de Crau,Foin de Crau,Foin de Crau,Foin,Foin,,,,,http://www.inao.gouv.fr/produit/12765
IGP - Indication géographique protégée,,Saucisson de l'Ardèche,Saucisson de l'Ardèche,Saucisson de l'Ardèche,Produits à base de viande (cuits salés fumés etc.),Charcuterie,,,,,http://www.inao.gouv.fr/produit/12606
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Chasselas de Moissac,Chasselas de Moissac,Chasselas de Moissac,Fruits légumes et céréales en l'état ou transformés,Raisin de table,Blanc,,,,http://www.inao.gouv.fr/produit/12601
IGP - Indication géographique protégée,,Kiwi de l'Adour,Kiwi de l'Adour,Kiwi de l'Adour,Fruits légumes et céréales en l'état ou transformés,Fruit exotique,,,,,http://www.inao.gouv.fr/produit/12252
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Beurre d'Isigny,Beurre d'Isigny,Beurre d'Isigny,Huiles et matières grasses (beurre margarine huiles etc.),Beurre,,,,,http://www.inao.gouv.fr/produit/12035
IGP - Indication géographique protégée,,Jambon de l'Ardèche,Jambon de l'Ardèche,Jambon de l'Ardèche,Produits à base de viande (cuits salés fumés etc.),Salaison,,,,,http://www.inao.gouv.fr/produit/12009
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Mont d'Or ou Vacherin du Haut-Doubs,Mont d'Or,Mont d'Or ou Vacherin du Haut-Doubs,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/10687
IG - Indication géographique,,Genièvre Flandre-Artois,Genièvre Flandre-Artois,Genièvre Flandre-Artois,Autres boissons alcoolisées,Eaux-de-vie de fruits,,,,,http://www.inao.gouv.fr/produit/10442
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Noix de Grenoble,Noix de Grenoble,Noix de Grenoble,Fruits légumes et céréales en l'état ou transformés,Fruit à coque,,,,,http://www.inao.gouv.fr/produit/10277
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Muscat du Ventoux,Muscat du Ventoux,Muscat du Ventoux,Fruits légumes et céréales en l'état ou transformés,Raisin de table,,,,,http://www.inao.gouv.fr/produit/10018
