Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
IGP - Indication géographique protégée,,Volailles du Berry,Volailles du Berry,Volailles du Berry,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3441
IGP - Indication géographique protégée,,Volailles du Béarn,Volailles du Béarn,Volailles du Béarn,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3440
IGP - Indication géographique protégée,,Volailles des Landes,Volailles des Landes,Volailles des Landes,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3439
IGP - Indication géographique protégée,,Volailles de Vendée,Volailles de Vendée,Volailles de Vendée,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3438
IGP - Indication géographique protégée,,Volailles de l’Orléanais,Volailles de l’Orléanais,Volailles de l’Orléanais,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3436
IGP - Indication géographique protégée,,Volailles de la Drôme,Volailles de la Drôme,Volailles de la Drôme,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3434
IGP - Indication géographique protégée,,Volailles de la Champagne,Volailles de la Champagne,Volailles de la Champagne,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3433
IGP - Indication géographique protégée,,Volailles de Janzé,Volailles de Janzé,Volailles de Janzé,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3432
IGP - Indication géographique protégée,,Volailles de Houdan,Volailles de Houdan,Volailles de Houdan,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3431
IGP - Indication géographique protégée,,Volailles de Cholet,Volailles de Cholet,Volailles de Cholet,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3429
IGP - Indication géographique protégée,,Volailles de Challans,Volailles de Challans,Volailles de Challans,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3428
IGP - Indication géographique protégée,,Volailles de Bretagne,Volailles de Bretagne,Volailles de Bretagne,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3427
IGP - Indication géographique protégée,,Volailles d’Auvergne,Volailles d’Auvergne,Volailles d’Auvergne,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3426
IGP - Indication géographique protégée,,Volailles d’Alsace,Volailles d’Alsace,Volailles d’Alsace,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/3424
IGP - Indication géographique protégée,,Veau du Limousin,Veau du Limousin,Veau du Limousin,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/3423
IGP - Indication géographique protégée,,Veau d'Aveyron et du Ségala,Veau d’Aveyron et du Ségala,Veau d’Aveyron et du Ségala,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/3422
IGP - Indication géographique protégée,,Porc du Limousin,Porc du Limousin,Porc du Limousin,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/3417
IGP - Indication géographique protégée,,Porc de Vendée,Porc de Vendée,Porc de Vendée,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/3416
IGP - Indication géographique protégée,,Porc de Normandie,Porc de Normandie,Porc de Normandie,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/3415
IGP - Indication géographique protégée,,Porc de la Sarthe,Porc de la Sarthe,Porc de la Sarthe,Viandes (et abats) frais,Porc,,,,,http://www.inao.gouv.fr/produit/3414
IGP - Indication géographique protégée,,Pommes de terre de Merville,Pommes de terre de Merville,Pommes de terre de Merville,Fruits légumes et céréales en l'état ou transformés,Tubercule,,,,,http://www.inao.gouv.fr/produit/3412
